CVE;advisory name;advisory URL;unknown PoC;Github PoC;Curl PoC;XML PoC;
CVE-2021-46829;SNYK-AMZN2023-GDKPIXBUF2DEBUGSOURCE-5912323;https://security.snyk.io/vuln/SNYK-AMZN2023-GDKPIXBUF2DEBUGSOURCE-5912323;yes;no;no;no;
CVE-2021-46829;SNYK-AMZN2023-GDKPIXBUF2DEVEL-5912402;https://security.snyk.io/vuln/SNYK-AMZN2023-GDKPIXBUF2DEVEL-5912402;yes;no;no;no;
CVE-2021-46829;SNYK-AMZN2023-GDKPIXBUF2DEVELDEBUGINFO-5912322;https://security.snyk.io/vuln/SNYK-AMZN2023-GDKPIXBUF2DEVELDEBUGINFO-5912322;yes;no;no;no;
CVE-2021-46829;SNYK-AMZN2023-GDKPIXBUF2MODULES-5912315;https://security.snyk.io/vuln/SNYK-AMZN2023-GDKPIXBUF2MODULES-5912315;yes;no;no;no;
CVE-2021-46829;SNYK-AMZN2023-GDKPIXBUF2MODULESDEBUGINFO-5912320;https://security.snyk.io/vuln/SNYK-AMZN2023-GDKPIXBUF2MODULESDEBUGINFO-5912320;yes;no;no;no;
CVE-2021-46829;SNYK-AMZN2023-GDKPIXBUF2TESTS-5912326;https://security.snyk.io/vuln/SNYK-AMZN2023-GDKPIXBUF2TESTS-5912326;yes;no;no;no;
CVE-2021-46829;SNYK-AMZN2023-GDKPIXBUF2TESTSDEBUGINFO-5912324;https://security.snyk.io/vuln/SNYK-AMZN2023-GDKPIXBUF2TESTSDEBUGINFO-5912324;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-GOLANG-5971067;https://security.snyk.io/vuln/SNYK-AMZN2023-GOLANG-5971067;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-GOLANGBIN-5971097;https://security.snyk.io/vuln/SNYK-AMZN2023-GOLANGBIN-5971097;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-GOLANGDOCS-5971105;https://security.snyk.io/vuln/SNYK-AMZN2023-GOLANGDOCS-5971105;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-GOLANGMISC-5971061;https://security.snyk.io/vuln/SNYK-AMZN2023-GOLANGMISC-5971061;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-GOLANGSHARED-5971094;https://security.snyk.io/vuln/SNYK-AMZN2023-GOLANGSHARED-5971094;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-GOLANGSRC-5971079;https://security.snyk.io/vuln/SNYK-AMZN2023-GOLANGSRC-5971079;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-GOLANGTESTS-5971080;https://security.snyk.io/vuln/SNYK-AMZN2023-GOLANGTESTS-5971080;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-GRPC-6147173;https://security.snyk.io/vuln/SNYK-AMZN2023-GRPC-6147173;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-GRPCCPPDEBUGINFO-6147197;https://security.snyk.io/vuln/SNYK-AMZN2023-GRPCCPPDEBUGINFO-6147197;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-GRPCDATA-6147221;https://security.snyk.io/vuln/SNYK-AMZN2023-GRPCDATA-6147221;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-GRPCDEBUGINFO-6147196;https://security.snyk.io/vuln/SNYK-AMZN2023-GRPCDEBUGINFO-6147196;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-GRPCPLUGINS-6147201;https://security.snyk.io/vuln/SNYK-AMZN2023-GRPCPLUGINS-6147201;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-GRPCPLUGINSDEBUGINFO-6147216;https://security.snyk.io/vuln/SNYK-AMZN2023-GRPCPLUGINSDEBUGINFO-6147216;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-LIBNGHTTP2-5971041;https://security.snyk.io/vuln/SNYK-AMZN2023-LIBNGHTTP2-5971041;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-LIBNGHTTP2DEBUGINFO-5971101;https://security.snyk.io/vuln/SNYK-AMZN2023-LIBNGHTTP2DEBUGINFO-5971101;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-LIBNGHTTP2DEVEL-5971090;https://security.snyk.io/vuln/SNYK-AMZN2023-LIBNGHTTP2DEVEL-5971090;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NETSTANDARDTARGETINGPACK21-5971051;https://security.snyk.io/vuln/SNYK-AMZN2023-NETSTANDARDTARGETINGPACK21-5971051;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NGHTTP2-5971044;https://security.snyk.io/vuln/SNYK-AMZN2023-NGHTTP2-5971044;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NGHTTP2DEBUGINFO-5971088;https://security.snyk.io/vuln/SNYK-AMZN2023-NGHTTP2DEBUGINFO-5971088;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NGHTTP2DEBUGSOURCE-5971038;https://security.snyk.io/vuln/SNYK-AMZN2023-NGHTTP2DEBUGSOURCE-5971038;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NGINX-5971064;https://security.snyk.io/vuln/SNYK-AMZN2023-NGINX-5971064;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NGINXALLMODULES-5971092;https://security.snyk.io/vuln/SNYK-AMZN2023-NGINXALLMODULES-5971092;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NGINXCORE-5971049;https://security.snyk.io/vuln/SNYK-AMZN2023-NGINXCORE-5971049;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NGINXCOREDEBUGINFO-5971063;https://security.snyk.io/vuln/SNYK-AMZN2023-NGINXCOREDEBUGINFO-5971063;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NGINXDEBUGINFO-5971037;https://security.snyk.io/vuln/SNYK-AMZN2023-NGINXDEBUGINFO-5971037;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NGINXDEBUGSOURCE-5971039;https://security.snyk.io/vuln/SNYK-AMZN2023-NGINXDEBUGSOURCE-5971039;yes;no;no;no;
